,Site,Petri,Dateof,PetriDish,PaperFilter,PetriPlus,PetriDishPlus,PetridishPlus,FilterAndsample,SampleWeight,SampleWeight.1,Vol,Vol.1,mgL,mgL.1,Con,Temp,Level,pH,Date,,,
73,MQ2,3830,"Oct.28,2003",0.9904,0.1046,1.095,1.0985,1.0978,0.1074,3.5,2.8,750,0.75,4.666666667,3.733333333,NA,NA,NA,NA,10/28/2003,,,
74,MQ3,3831,"Oct.28,2003",0.9921,0.1033,1.0954,1.0991,1.0982,0.1061,3.7,2.8,950,0.95,3.894736842,2.947368421,NA,NA,NA,NA,10/28/2003,,,
75,RCB,3832,"Oct.28,2003",0.9928,0.1062,1.099,1.099,1.0982,0.1054,0,-0.8,450,0.45,0,-1.777777778,NA,NA,NA,NA,10/28/2003,,,
76,TCB,3833,"Oct.28,2003",0.9942,0.1038,1.098,1.1167,1.1008,0.1066,18.7,2.8,350,0.35,53.42857143,8,NA,NA,NA,NA,10/28/2003,,,
77,MPR,3834,"Oct.28,2003",0.9954,0.103,1.0984,1.099,1.0985,0.1031,0.6,0.1,1000,1,0.6,0.1,NA,NA,NA,NA,10/28/2003,,,
78,MG,3835,"Oct.28,2003",0.9949,0.1039,1.0988,1.0998,1.0991,0.1042,1,0.3,990,0.99,1.01010101,0.303030303,NA,NA,NA,NA,10/28/2003,,,
79,RS,3836,"Oct.28,2003",0.9967,0.1038,1.1005,1.1035,1.1025,0.1058,3,2,1000,1,3,2,NA,NA,NA,NA,10/28/2003,,,
80,Q. Sonadora,3837,"Oct.28,2003",0.9949,0.103,1.0979,1.0986,1.0979,0.103,0.7,0,1000,1,0.7,0,NA,NA,NA,NA,10/28/2003,,,
81,Q. Prieta,3838,"Oct.28,2003",0.9912,0.103,1.0942,1.099,1.0976,0.1064,4.8,3.4,750,0.75,6.4,4.533333333,NA,NA,NA,NA,10/28/2003,,,
82,Q. T1,3839,"Oct.28,2003",0.9934,0.1022,1.0956,1.1035,1.1015,0.1081,7.9,5.9,1000,1,7.9,5.9,NA,NA,NA,NA,10/28/2003,,,
83,Q. Guabá,3841,"Oct.28,2003",0.992,0.1024,1.0944,1.1034,1.1016,0.1096,9,7.2,600,0.6,15,12,NA,NA,NA,NA,10/28/2003,,,
84,Q. Icacos,3840,"Oct.28,2003",0.9928,0.1038,1.0966,1.1,1.0991,0.1063,3.4,2.5,1000,1,3.4,2.5,NA,NA,NA,NA,10/28/2003,,,
85,RES4,3842,"Oct.28,2003",0.9868,0.1034,1.0902,1.091,1.0904,0.1036,0.8,0.2,1000,1,0.8,0.2,NA,NA,NA,NA,10/28/2003,,,
86,RCEV,3843,"Oct.28,2003",0.991,0.1027,1.0937,1.0945,1.0931,0.1021,0.8,-0.6,225,0.225,3.555555556,-2.666666667,NA,NA,NA,NA,10/28/2003,,,
87,WDEV,3844,"Oct.28,2003",1.0136,0.1026,1.1162,1.116,1.1155,0.1019,-0.2,-0.7,225,0.225,-0.888888889,-3.111111111,NA,NA,NA,NA,10/28/2003,,,
88,Blank,3845,"Nov.4,2003",1.0162,0.1041,1.1203,1.1195,1.1192,0.103,-0.8,-1.1,500,0.5,-1.6,-2.2,NA,NA,NA,NA,11/4/2003,,,
